
id,TransactionID,Date,CustomerID,PartNo,Quantity,Rate,TotalPrice,PartDescription,Category,Source,VehicleMake
40,1005,09-04-2025,CUST-620,PN000040,5,9.0,45.0,COOLANT,Others,Aftermarket,Honda
41,4759,08-01-2024,CUST-699,PN000041,4,2.8,11.2,UNIVERSAL JOINT,Others,Source,Mitsubishi
42,3855,13-10-2024,CUST-585,PN000042,6,14.28,85.68,SHAKE HOSE,Others,OEM,Honda
43,7661,24-08-2023,CUST-813,PN000043,15,6.1,91.5,GROMMET,Others,Source,Nissan
44,9080,06-07-2025,CUST-561,PN000044,18,12.25,220.5,brake shoe,Others,Source,Toyota
45,3173,03-12-2024,CUST-926,PN000045,2,3.33,6.66,AXLE BOOT,Others,Aftermarket,Nissan
46,1972,29-09-2023,CUST-758,PN000046,1,17.57,17.57,OIL FILTER GASKET,Others,Aftermarket,Toyota
47,7216,26-11-2023,CUST-919,PN000047,11,16.21,178.31,TIMING BELT,Others,OEM,Honda
48,7734,09-09-2024,CUST-902,PN000048,4,19.89,79.56,WATER PUMP,Others,Aftermarket,Generic
49,3901,01-09-2024,CUST-523,PN000049,8,17.87,142.96,PETROLS GASKET,Others,OEM,Mitsubishi
50,7792,21-12-2024,CUST-586,PN000050,13,45.0,585.0,BELT,Others,OEM,Toyota
51,1935,13-08-2025,CUST-488,PN000051,18,0.9,16.2,GASKET KIT,Others,Aftermarket,Toyota
52,6610,12-11-2023,CUST-366,PN000052,6,7.6,45.6,GROMMET,Others,OEM,Toyota
53,7264,26-03-2025,CUST-103,PN000053,14,13.3,186.2,CLUTCH DISK,Others,OEM,Toyota
54,4235,19-04-2025,CUST-954,PN000054,16,2.3,36.8,"BELT','Generic",Others,OEM,Toyota
55,2833,04-03-2025,CUST-306,PN000055,20,1.9,38.0,GEAR GASKET,Others,Aftermarket,Honda
56,8566,23-02-2025,CUST-734,PN000056,1,8.0,8.0,WATER PUMP,Others,Aftermarket,Toyota
57,2402,06-11-2023,CUST-797,PN000057,9,6.1,54.9,THRUST WASHER,Others,Aftermarket,Generic
58,5356,28-07-2025,CUST-513,PN000058,2,5.2,10.4,PISTON,Others,Aftermarket,Toyota
59,1603,10-04-2024,CUST-215,PN000059,20,2.3,46.0,CLUTCH COVER,Others,Source,Toyota
60,6634,03-10-2024,CUST-307,PN000060,9,3.3,29.7,LINK ROD,Others,OEM,Toyota
61,8004,17-05-2025,CUST-901,PN000061,14,11.9,166.6,OIL SEAL,Others,Source,Toyota
62,9703,17-12-2023,CUST-160,PN000062,18,1.9,34.2,PartDescription,Others,Aftermarket,Honda
63,9129,07-03-2025,CUST-610,PN000063,1,43.8,43.8,UNIVERSAL JOINT,Others,Source,Toyota
64,7509,26-09-2024,CUST-466,PN000064,10,12.88,128.8,ENGINE MOUNTING,Others,Aftermarket,Nissan
65,5003,15-05-2025,CUST-263,PN000065,10,11.9,119.0,PISTON RING,Others,Aftermarket,Toyota
66,5635,04-06-2024,CUST-421,PN000066,11,5.2,57.2,THRUST WASHER,Others,Aftermarket,Nissan
67,8159,27-08-2023,CUST-637,PN000067,12,7.1,85.2,GASKETSEALANT,Others,OEM,Nissan
68,7515,10-02-2025,CUST-228,PN000068,7,16.12,112.84,LUBRICANT,Others,OEM,Generic
69,3054,09-07-2025,CUST-776,PN000069,2,5.09,10.18,FUEL PUMP,Others,Aftermarket,Toyota
70,7286,14-11-2024,CUST-198,PN000070,9,5.2,46.8,GEAR GASKET,Others,OEM,Toyota
71,2706,23-04-2025,CUST-412,PN000071,10,14.2,142.0,TRANSAXLE GASKET,Others,Aftermarket,Toyota
72,1574,30-01-2024,CUST-350,PN000072,13,12.3,159.9,FUEL PUMP,Others,Aftermarket,Honda
73,7836,10-02-2024,CUST-958,PN000073,20,11.9,238.0,THERMOSTAT GASKET,Others,Aftermarket,Honda
74,6789,13-01-2025,CUST-163,PN000074,1,2.3,2.3,LINKS,Others,OEM,Honda
75,9799,29-01-2024,CUST-942,PN000075,5,25.8,129.0,ENGINE INSULATION,Others,Source,Generic
76,7828,27-08-2024,CUST-706,PN000076,17,2.72,46.24,SPARK PLUG,Others,OEM,Mitsubishi
77,7247,01-01-2024,CUST-322,PN000077,10,10.9,109.0,IDLER BEARING,Others,Aftermarket,Mitsubishi
78,1449,13-11-2024,CUST-530,PN000078,5,15.71,78.55,FUEL PURIFICATION kit,Others,Aftermarket,Toyota
79,3379,28-03-2025,CUST-409,PN000079,18,3.96,71.28,"BELT','Generic",Others,Aftermarket,Toyota
80,7140,02-02-2024,CUST-857,PN000080,4,3.33,13.32,FUEL FILTER,Others,OEM,Toyota
81,5125,09-04-2025,CUST-959,PN000081,7,5.2,36.4,CHAIN GUIDE,Others,OEM,Generic
82,6550,23-11-2024,CUST-496,PN000082,1,3.48,3.48,BELT,Others,OEM,Toyota
83,6173,08-12-2023,CUST-234,PN000083,5,13.3,66.5,TIERODENDROOLUMINOSITY,Others,OEM,Nissan
84,9477,11-05-2025,CUST-280,PN000084,17,43.8,744.6,AXLE GREASE,Others,OEM,Nissan
85,8365,13-06-2025,CUST-790,PN000085,12,6.3,75.6,FUEL FILTER,Others,Aftermarket,Toyota
86,7029,10-11-2024,CUST-378,PN000086,11,14.82,163.02,CLUTCH COVER,Others,OEM,Mitsubishi
87,1529,22-04-2024,CUST-217,PN000087,18,11.81,212.58,VENTILATION VALVE,Others,Aftermarket,Honda
88,4757,31-07-2024,CUST-109,PN000088,5,3.4,17.0,PETROLS GASKET,Others,OEM,Toyota
89,8367,05-03-2025,CUST-697,PN000089,4,45.0,180.0,UNIVERSAL JOINT,Others,Source,Toyota
90,3946,20-06-2024,CUST-766,PN000090,8,30.2,241.6,CON ROD BEARING(U),Others,OEM,Honda
91,6481,11-09-2023,CUST-190,PN000091,2,9.91,19.82,BRAKE PAD,Others,OEM,Honda
92,9281,22-06-2024,CUST-136,PN000092,18,8.33,149.94,PCV VALVE,Others,OEM,Toyota
93,3608,15-01-2024,CUST-237,PN000093,1,14.2,14.2,AXLE GREASE,Others,Source,Nissan
94,9290,14-07-2024,CUST-242,PN000094,19,12.1,229.9,GEAR FILTER ,Others,Aftermarket,Toyota
95,2879,07-06-2024,CUST-635,PN000095,1,10.4,10.4,GEAR GASKET,Others,OEM,Generic
96,7692,31-07-2024,CUST-658,PN000096,12,16.25,195.0,LINKS,Others,Aftermarket,Toyota
97,2445,28-02-2025,CUST-819,PN000097,17,7.6,129.2,COOLANT,Others,Source,Toyota
98,3954,14-11-2023,CUST-791,PN000098,4,12.8,51.2,air filter,Others,OEM,Mitsubishi
99,7085,02-08-2025,CUST-996,PN000099,11,3.8,41.8,PISTON RING,Others,OEM,Toyota
100,7492,07-06-2024,CUST-854,PN000100,18,6.19,111.42,PISTON RING,Others,Aftermarket,Nissan
101,9681,30-07-2025,CUST-602,PN000101,9,0.9,8.1,GEAR FILTER ,Others,Aftermarket,Toyota
102,2853,29-09-2024,CUST-182,PN000102,10,9.96,99.6,PISTON RING,Others,Aftermarket,Generic
103,9225,19-07-2024,CUST-235,PN000103,20,4.7,94.0,WEATHER STRIP,Others,Source,Toyota
104,4527,26-12-2024,CUST-311,PN000104,15,10.04,150.6,SHOCK ABSORBER,Others,Source,Nissan
105,2028,25-07-2024,CUST-535,PN000105,20,2.8,56.0,THERMOSTAT GASKET,Others,OEM,Toyota
106,4155,10-10-2023,CUST-996,PN000106,17,8.2,139.4,UNIVERSAL JOINTS,Others,OEM,Toyota
107,2915,18-04-2024,CUST-939,PN000107,20,13.3,266.0,BALL JOINT,Others,OEM,Nissan
108,9901,17-01-2025,CUST-431,PN000108,14,5.45,76.3,PETROLLOAR ,Others,OEM,Generic
109,4615,21-09-2024,CUST-964,PN000109,19,8.91,169.29,CLUTCH ASSEMBLY,Others,Aftermarket,Toyota
110,6294,09-05-2024,CUST-666,PN000110,11,5.7,62.7,AIR FILTER,Others,Aftermarket,VehicleMake
111,1090,28-04-2024,CUST-838,PN000111,10,2.3,23.0,air filter,Others,Aftermarket,Nissan
112,5697,14-08-2024,CUST-391,PN000112,10,17.69,176.9,valve cover gasket,Others,Aftermarket,Toyota
113,4420,17-03-2024,CUST-372,PN000113,15,6.01,90.15,OIL SEAL,Others,OEM,Toyota
114,8337,15-07-2025,CUST-674,PN000114,6,20.1,120.6,VENTILATION VALVE,Others,Aftermarket,Toyota
115,2315,04-02-2025,CUST-583,PN000115,6,8.12,48.72,gasket kit,Others,OEM,Nissan
116,3665,08-12-2024,CUST-290,PN000116,2,4.7,9.4,LINK ROD,Others,OEM,Toyota
117,8727,09-11-2023,CUST-403,PN000117,16,8.0,128.0,THERMOSTAT,Others,OEM,Honda
118,1486,04-02-2025,CUST-134,PN000118,20,14.2,284.0,THERMOSTAT,Others,OEM,Generic
119,8690,20-04-2024,CUST-744,PN000119,3,5.2,15.6,SHOCK ABSORBER,Others,OEM,VehicleMake
120,3631,27-09-2024,CUST-200,PN000120,8,5.6,44.8,BALL JOINT,Others,OEM,Honda
121,4251,24-08-2023,CUST-299,PN000121,20,3.8,76.0,VALVE COVER GASKET,Others,Aftermarket,Honda
122,8354,25-12-2024,CUST-681,PN000122,4,5.51,22.04,STEERING BOOT,Others,OEM,Honda
123,3962,27-08-2024,CUST-930,PN000123,8,12.8,102.4,BRAKE PAD,Others,Aftermarket,Toyota
124,9277,16-07-2025,CUST-701,PN000124,11,24.7,271.7,BRAKE PAD,Others,Aftermarket,Toyota
125,3674,28-07-2024,CUST-210,PN000125,3,3.8,11.4,SPARK PLUG,Others,OEM,Toyota
126,7876,25-07-2025,CUST-416,PN000126,10,14.2,142.0,FUEL PUMP,Others,Source,Honda
127,8823,19-12-2023,CUST-498,PN000127,8,7.1,56.8,RACK END,Others,Source,Toyota
128,6162,18-05-2024,CUST-978,PN000128,14,0.9,12.6,GROMMET,Others,Aftermarket,Toyota
129,7596,27-08-2023,CUST-853,PN000129,4,8.16,32.64,brake shoe,Others,Aftermarket,Toyota
130,6468,21-07-2025,CUST-804,PN000130,12,45.0,540.0,BALL JOINT,Others,Source,Toyota
131,1858,11-07-2024,CUST-882,PN000131,9,14.05,126.45,CLUTCH COVER,Others,Aftermarket,Honda
132,2661,21-02-2024,CUST-358,PN000132,8,13.92,111.36,COOLANT,Others,Aftermarket,Nissan
133,6244,25-09-2023,CUST-365,PN000133,18,17.27,310.86,SHOCK ABSORBER,Others,OEM,Toyota
134,9054,26-12-2023,CUST-733,PN000134,5,3.33,16.65,WEATHER STRIP,Others,Aftermarket,Toyota
135,6807,17-08-2024,CUST-950,PN000135,4,13.3,53.2,IDLER BEARING,Others,Source,Toyota
136,6383,11-08-2025,CUST-513,PN000136,15,5.77,86.55,air filtration kit,Others,Aftermarket,Toyota
137,1818,20-05-2024,CUST-277,PN000137,19,11.77,223.63,RACK END,Others,Source,Toyota
138,4866,02-06-2024,CUST-237,PN000138,13,5.28,68.64,OIL SEAL,Others,Aftermarket,Toyota
139,2406,03-12-2024,CUST-915,PN000139,15,13.3,199.5,OIL FILTER,Others,OEM,Generic
140,7134,26-08-2024,CUST-208,PN000140,12,5.7,68.4,BRAKE PAD,Others,OEM,Toyota
141,9791,08-02-2025,CUST-291,PN000141,5,9.0,45.0,WEATHER STRIP,Others,OEM,Toyota
142,7122,18-09-2023,CUST-684,PN000142,11,12.49,137.39,BALL JOINT,Others,OEM,Mitsubishi
143,3298,01-10-2023,CUST-881,PN000143,8,6.98,55.84,UNIVERSAL JOINT,Others,Aftermarket,Toyota
144,5101,29-07-2025,CUST-272,PN000144,9,9.49,85.41,common mounting,Others,OEM,Mitsubishi
145,2640,29-09-2024,CUST-883,PN000145,18,9.47,170.46,STEERING BOOT,Others,OEM,Mitsubishi
146,4902,20-07-2025,CUST-376,PN000146,7,10.51,73.57,TIEROD END,Others,Aftermarket,Honda
147,3709,28-05-2024,CUST-577,PN000147,14,0.9,12.6,OIL SEAL,Others,OEM,Toyota
148,9736,02-10-2024,CUST-421,PN000148,9,2.3,20.7,TRANSAXLE GASKET,Others,Aftermarket,Toyota
149,2312,02-06-2024,CUST-899,PN000149,13,18.24,237.12,LUBRICANT,Others,OEM,Toyota
150,4277,26-03-2025,CUST-389,PN000150,5,5.7,28.5,CON ROD BEARING,Others,OEM,Honda
151,3653,27-05-2025,CUST-466,PN000151,2,2.3,4.6,GEAR FILTER ,Others,OEM,Generic
152,1447,29-01-2025,CUST-351,PN000152,7,25.8,180.6,valve cover gasket,Others,OEM,Mitsubishi
153,3320,23-09-2024,CUST-963,PN000153,14,43.8,613.2,CON ROD BEARING(UM),Others,Aftermarket,Toyota
154,6617,16-08-2024,CUST-303,PN000154,16,17.49,279.84,SHOCK ABSORBER,Others,Aftermarket,Mitsubishi
155,8669,16-01-2024,CUST-901,PN000155,16,18.0,288.0,WEATHER STRIP,Others,OEM,Toyota
156,2902,01-01-2025,CUST-603,PN000156,20,10.57,211.4,LUBRICANT,Others,OEM,Mitsubishi
157,3741,16-02-2024,CUST-764,PN000157,15,5.7,85.5,VALVE COVER GASKET,Others,OEM,Honda
158,9818,21-07-2024,CUST-633,PN000158,17,24.7,419.9,WATER PUMP,Others,Source,Nissan
159,1129,16-04-2024,CUST-417,PN000159,1,5.7,5.7,BELT TENSIONER,Others,Aftermarket,Nissan
160,9587,08-09-2023,CUST-715,PN000160,11,14.48,159.28,THERMOSTAT GASKET,Others,OEM,Toyota
161,9313,22-07-2025,CUST-423,PN000161,16,9.5,152.0,POWER STEERING HOSE,Others,OEM,Generic
162,5619,15-10-2023,CUST-105,PN000162,6,5.2,31.2,LUBRICANT,Others,Source,Toyota
163,2059,06-09-2024,CUST-153,PN000163,16,3.4,54.4,RACK END,Others,Aftermarket,Toyota
164,4373,08-11-2024,CUST-391,PN000164,5,11.69,58.45,POWER STEERING KIT,Others,OEM,Mitsubishi
165,5168,07-02-2025,CUST-384,PN000165,19,14.2,269.8,air filter ,Others,OEM,Toyota
166,3953,09-06-2024,CUST-957,PN000166,17,18.84,320.28,VENTILATION VALVE,Others,OEM,Mitsubishi
167,4751,12-05-2024,CUST-452,PN000167,11,5.01,55.11,WEATHER STRIP,Others,Aftermarket,Generic
168,5556,09-01-2024,CUST-391,PN000168,17,3.52,59.84,THERMOSTAT,Others,OEM,Toyota
169,2528,08-06-2025,CUST-566,PN000169,13,18.0,234.0,WATER PUMP,Others,OEM,Toyota
170,9288,03-03-2025,CUST-643,PN000170,13,8.0,104.0,SPARK PLUG,Others,Aftermarket,Honda
171,6258,20-09-2023,CUST-282,PN000171,6,5.2,31.2,WATER PUMP,Others,Source,Toyota
172,8419,07-01-2025,CUST-370,PN000172,7,19.26,134.82,COOLANT,Others,OEM,VehicleMake
173,3199,11-03-2024,CUST-738,PN000173,3,5.5,16.5,BRAKE PAD,Others,Aftermarket,Generic
174,3038,05-04-2025,CUST-571,PN000174,14,3.4,47.6,AXLE GREASE,Others,Aftermarket,Toyota
175,2355,15-01-2025,CUST-444,PN000175,14,0.9,12.6,VACCUM HOSE,Others,OEM,Mitsubishi
176,1288,24-07-2024,CUST-207,PN000176,18,5.7,102.6,SPARK PLUG,Others,Aftermarket,Toyota
177,7315,05-08-2024,CUST-244,PN000177,20,11.18,223.6,VENTILATION VALVE,Others,OEM,Toyota
178,7788,07-12-2023,CUST-854,PN000178,8,17.41,139.28,PCV VALVE,Others,OEM,Mitsubishi
179,2196,11-12-2024,CUST-767,PN000179,5,2.7,13.5,LUBRICANT,Others,Aftermarket,Generic
180,2730,31-12-2023,CUST-899,PN000180,17,2.8,47.6,LUBRICANT,Others,OEM,Toyota
181,6267,21-04-2025,CUST-677,PN000181,5,7.53,37.65,SHOCK ABSORBER,Others,Aftermarket,Toyota
182,5786,20-08-2024,CUST-728,PN000182,5,5.7,28.5,GAS KIT,Others,OEM,Honda
183,9453,19-11-2024,CUST-923,PN000183,19,8.2,155.8,CHAIN GUIDE,Others,Source,Toyota
184,3030,13-09-2024,CUST-412,PN000184,16,3.7,59.2,THERMOSTAT,Others,Aftermarket,Nissan
185,5312,20-04-2024,CUST-112,PN000185,17,3.7,62.9,PETROL GAUGE,Others,OEM,Toyota
186,6981,03-12-2023,CUST-897,PN000186,10,1.1,11.0,OIL SEAL,Others,OEM,Toyota
187,1197,09-02-2024,CUST-805,PN000187,16,3.51,56.16,LOWER ARM,Others,Aftermarket,Toyota
188,2660,09-07-2024,CUST-309,PN000188,4,3.33,13.32,GUM HOSE,Others,OEM,Toyota
189,8705,28-02-2024,CUST-474,PN000189,18,5.78,104.04,VALVE COVER GASKET,Others,OEM,Honda
190,4913,03-09-2024,CUST-721,PN000190,19,28.5,541.5,LOWER ARM BUSH,Others,Source,Toyota
191,8171,23-05-2025,CUST-942,PN000191,4,9.49,37.96,PETROL GAUGE,Others,Aftermarket,Toyota
192,4010,31-07-2024,CUST-867,PN000192,3,9.0,27.0,CON ROD BEARING(UM),Others,Source,Nissan
193,6802,16-09-2023,CUST-519,PN000193,8,15.66,125.28,BELT,Others,Aftermarket,Mitsubishi
194,3408,08-04-2024,CUST-259,PN000194,3,12.3,36.9,CLUTCH DISK,Others,OEM,Honda
195,4828,17-08-2025,CUST-383,PN000195,17,3.33,56.61,PISTON RING,Others,Aftermarket,Toyota
196,2801,18-11-2024,CUST-322,PN000196,16,2.8,44.8,TIMING BELT,Others,OEM,Mitsubishi
197,6286,04-11-2024,CUST-331,PN000197,11,10.87,119.57,CLUTCH COVER,Others,OEM,Toyota
198,1158,17-05-2024,CUST-263,PN000198,20,5.83,116.6,BELT,Others,Aftermarket,Mitsubishi
199,6941,14-10-2024,CUST-104,PN000199,12,36.1,433.2,brake shoe,Others,Source,Toyota
200,3511,04-12-2023,CUST-100,PN000200,12,0.9,10.8,TIEROD END,Others,OEM,Toyota
201,5890,01-04-2024,CUST-737,PN000201,4,3.8,15.2,brake shoe,Others,OEM,Toyota
202,5344,28-10-2024,CUST-444,PN000202,9,0.6,5.4,FUEL FILTER,Others,OEM,Toyota
203,4536,03-10-2024,CUST-835,PN000203,17,19.47,330.99,PCV VALVE,Others,Source,Toyota
204,5792,25-04-2025,CUST-298,PN000204,8,5.2,41.6,PISTON RING,Others,Aftermarket,Toyota
205,6456,02-10-2024,CUST-207,PN000205,6,12.3,73.8,LOWER ARM BUSH,Others,OEM,Toyota
206,7881,20-10-2023,CUST-260,PN000206,20,3.33,66.6,OIL SEAL,Others,Aftermarket,Honda
207,9045,26-03-2024,CUST-351,PN000207,12,23.8,285.6,TIEROD END,Others,OEM,Toyota
208,2827,10-04-2025,CUST-233,PN000208,14,10.11,141.54,IDLER BEARING,Others,OEM,Toyota
209,7337,21-08-2024,CUST-797,PN000209,20,8.0,160.0,air filter,Others,Aftermarket,Toyota
210,1575,11-12-2024,CUST-516,PN000210,1,9.0,9.0,CLUTCH DISK,Others,OEM,Toyota
211,6891,20-02-2025,CUST-979,PN000211,17,19.47,330.99,THERMOSTATE,Others,Aftermarket,Mitsubishi
212,2078,13-12-2023,CUST-161,PN000212,19,3.8,72.2,PISTON,Others,Source,Toyota
213,1611,07-03-2024,CUST-101,PN000213,7,3.8,26.6,CLUTCH DISK,Others,Source,Toyota
214,5421,08-11-2023,CUST-749,PN000214,19,7.6,144.4,VENTILATION VALVE,Others,Aftermarket,Toyota
215,3007,27-04-2025,CUST-648,PN000215,2,9.53,19.06,PISTON RING,Others,OEM,Nissan
216,3517,16-08-2024,CUST-301,PN000216,10,3.57,35.7,FUEL PUMP,Others,OEM,Toyota
217,6599,04-06-2024,CUST-193,PN000217,6,6.1,36.6,TIMING BELT,Others,OEM,Toyota
218,5476,07-05-2025,CUST-544,PN000218,8,9.11,72.88,SPARK PLUG,Others,Source,Toyota
219,1436,14-07-2025,CUST-527,PN000219,1,14.7,14.7,AIR FILTER,Others,Aftermarket,Honda
220,6871,11-03-2024,CUST-867,PN000220,17,22.8,387.6,SHOCK ABSORBER,Others,OEM,Nissan
221,5589,22-12-2023,CUST-297,PN000221,13,2.3,29.9,CON ROD BEARING(UM),Others,Aftermarket,Mitsubishi
222,7274,28-05-2025,CUST-571,PN000222,20,14.7,294.0,AXLE BOOT,Others,OEM,Toyota
223,3104,02-07-2024,CUST-915,PN000223,15,16.42,246.3,SPARK PLUG,Others,Source,Honda
224,5920,02-11-2024,CUST-878,PN000224,7,7.6,53.2,OIL FILTER,Others,OEM,Generic
225,9031,25-02-2024,CUST-229,PN000225,4,4.94,19.76,air filter,Others,Aftermarket,Nissan
226,3980,09-06-2025,CUST-326,PN000226,14,24.7,345.8,"BELT','Generic",Others,Source,Generic
227,4921,08-09-2023,CUST-388,PN000227,12,20.1,241.2,VALVE COVER GASKET,Others,OEM,Toyota
228,9398,11-03-2025,CUST-418,PN000228,13,9.0,117.0,BRAKE PAD,Others,OEM,Toyota
229,3361,05-07-2025,CUST-122,PN000229,14,0.9,12.6,CLUTCH ASSEMBLY,Others,Source,Toyota
230,2461,10-09-2024,CUST-334,PN000230,7,4.75,33.25,BELT,Others,OEM,Honda
231,1446,18-02-2025,CUST-321,PN000231,5,2.8,14.0,SPARK PLUG,Others,OEM,Generic
232,2992,28-08-2023,CUST-115,PN000232,4,9.5,38.0,ENGMATE,Others,OEM,Mitsubishi
233,5795,08-03-2025,CUST-218,PN000233,15,4.7,70.5,AXLE BOOT,Others,Aftermarket,Nissan
234,7816,15-09-2023,CUST-490,PN000234,2,5.7,11.4,VENTILATION VALVE,Others,Aftermarket,Toyota
235,1180,21-05-2025,CUST-155,PN000235,5,3.48,17.4,GEAR FILTER ,Others,Aftermarket,Nissan
236,7664,26-02-2025,CUST-719,PN000236,8,5.7,45.6,CHAIN GUIDE,Others,Aftermarket,Toyota
237,5423,15-06-2024,CUST-778,PN000237,1,25.8,25.8,LUBRICANT,Others,Aftermarket,Toyota
238,2449,26-05-2025,CUST-708,PN000238,1,5.7,5.7,OIL FILTER GASKET,Others,Aftermarket,Nissan
239,5533,22-03-2024,CUST-237,PN000239,14,12.8,179.2,TIMING BELT,Others,Aftermarket,Honda
240,5315,17-12-2024,CUST-768,PN000240,4,3.8,15.2,ENGINE MOUNTING,Others,OEM,Toyota
241,4714,23-09-2024,CUST-973,PN000241,12,14.2,170.4,CLUTCH DISK,Others,Aftermarket,Toyota
242,5828,27-05-2025,CUST-338,PN000242,2,11.12,22.24,TIMING BELT,Others,Aftermarket,Generic
243,3040,05-02-2025,CUST-126,PN000243,7,14.2,99.4,PISTON RING,Others,OEM,Toyota
244,3712,20-01-2025,CUST-238,PN000244,11,2.3,25.3,BELT TENSIONER,Others,OEM,Mitsubishi
245,3182,04-06-2024,CUST-651,PN000245,14,43.8,613.2,PISTON RING,Others,Aftermarket,Toyota
246,9797,19-01-2024,CUST-568,PN000246,8,12.8,102.4,TIMING BELT,Others,OEM,Generic
247,3455,12-06-2025,CUST-381,PN000247,16,3.48,55.68,THERMOSTAT GASKET,Others,Aftermarket,Mitsubishi
248,6254,14-03-2025,CUST-670,PN000248,1,9.96,9.96,COOLANT,Others,OEM,Toyota
249,9717,13-01-2025,CUST-773,PN000249,19,8.5,161.5,IDLER BEARING,Others,Aftermarket,Toyota
250,1037,01-02-2025,CUST-495,PN000250,20,12.92,258.4,LINK ROD,Others,Aftermarket,Mitsubishi
251,2880,01-07-2025,CUST-282,PN000251,3,6.36,19.08,WATER PUMP,Others,OEM,Toyota
